GeneName	Module	kTotal	kWithin	kOut	kDiff
ENSG00000128626.12|MRPS12|protein_coding	turquoise	463.961660640575	239.193225770319	224.768434870256	14.4247909000633
ENSG00000100749.8|VRK1|protein_coding	turquoise	455.549938989707	238.365428564702	217.184510425005	21.1809181396968
ENSG00000184270.6|H2AC21|protein_coding	turquoise	476.3587241613	238.307577268948	238.051146892352	0.256430376595631
ENSG00000100162.15|CENPM|protein_coding	turquoise	456.231327955099	237.811608426951	218.419719528148	19.3918888988022
ENSG00000114859.16|CLCN2|protein_coding	turquoise	461.864490065515	237.546216343457	224.318273722058	13.2279426213989
ENSG00000148300.12|REXO4|protein_coding	turquoise	435.383301413203	236.970406143114	198.412895270089	38.5575108730256
ENSG00000148334.16|PTGES2|protein_coding	turquoise	465.631565479317	236.635292590834	228.996272888483	7.63901970235088
ENSG00000221955.11|SLC12A8|protein_coding	turquoise	461.532607114822	236.13086662733	225.401740487492	10.7291261398377
ENSG00000101146.13|RAE1|protein_coding	turquoise	427.013325428192	235.908094618474	191.105230809718	44.8028638087553
ENSG00000174442.12|ZWILCH|protein_coding	turquoise	424.013444677172	235.742765038177	188.270679638995	47.4720853991821
ENSG00000106462.11|EZH2|protein_coding	turquoise	424.55149953261	235.504661516572	189.046838016038	46.4578235005343
ENSG00000111845.5|PAK1IP1|protein_coding	turquoise	453.772083414661	234.880713111955	218.891370302706	15.9893428092489
ENSG00000164611.13|PTTG1|protein_coding	turquoise	422.816689984124	234.70671095534	188.109979028784	46.5967319265561
ENSG00000145087.13|STXBP5L|protein_coding	turquoise	437.923956319431	234.571609640983	203.352346678448	31.2192629625352
ENSG00000120647.10|CCDC77|protein_coding	turquoise	448.698262318818	233.848984323694	214.849277995125	18.9997063285691
ENSG00000125835.19|SNRPB|protein_coding	turquoise	461.873901277844	233.494134225504	228.379767052341	5.11436717316263
ENSG00000265763.4|ZNF488|protein_coding	turquoise	483.373305541982	233.464012933905	249.909292608077	-16.4452796741718
ENSG00000274290.3|H2BC6|protein_coding	turquoise	454.393472343905	233.201429478395	221.192042865511	12.009386612884
ENSG00000161692.18|DBF4B|protein_coding	turquoise	446.970247928205	232.521371299181	214.448876629024	18.0724946701568
ENSG00000233822.4|H2BC15|protein_coding	turquoise	443.076876319104	232.278751338065	210.798124981039	21.4806263570264
ENSG00000076003.5|MCM6|protein_coding	turquoise	416.849109177008	232.004615825017	184.844493351991	47.1601224730256
ENSG00000100401.20|RANGAP1|protein_coding	turquoise	464.419020238286	231.801171241003	232.617848997282	-0.816677756278807
ENSG00000168005.9|SPINDOC|protein_coding	turquoise	456.287050020161	231.779024610224	224.508025409937	7.2709992002865
ENSG00000153107.13|ANAPC1|protein_coding	turquoise	415.778705048569	231.778208784593	184.000496263976	47.7777125206171
ENSG00000133119.13|RFC3|protein_coding	turquoise	430.305504264481	231.584596734228	198.720907530252	32.8636892039762
ENSG00000100526.20|CDKN3|protein_coding	turquoise	434.75617776532	231.412172567606	203.344005197714	28.0681673698919
ENSG00000198554.12|WDHD1|protein_coding	turquoise	424.220521024268	231.352892488476	192.867628535792	38.4852639526835
ENSG00000101220.18|C20orf27|protein_coding	turquoise	444.299863398039	230.854066143006	213.445797255033	17.4082688879736
ENSG00000162062.15|TEDC2|protein_coding	turquoise	447.441802592705	230.640252939586	216.801549653119	13.8387032864671
ENSG00000141543.12|EIF4A3|protein_coding	turquoise	459.342744129225	230.629559747677	228.713184381548	1.9163753661291
ENSG00000276903.2|H2AC16|protein_coding	turquoise	447.599210639499	230.595285951306	217.003924688194	13.5913612631124
ENSG00000278588.2|H2BC10|protein_coding	turquoise	450.03271963493	230.319921914999	219.71279771993	10.607124195069
ENSG00000177192.14|PUS1|protein_coding	turquoise	460.532656975235	229.707877468736	230.824779506499	-1.11690203776328
ENSG00000107949.17|BCCIP|protein_coding	turquoise	410.683765923846	229.479141553596	181.20462437025	48.274517183346
ENSG00000075188.9|NUP37|protein_coding	turquoise	424.328851061222	229.427495267125	194.901355794097	34.5261394730272
ENSG00000165688.12|PMPCA|protein_coding	turquoise	459.794949815886	228.440951253076	231.35399856281	-2.91304730973434
ENSG00000174013.8|FBXO45|protein_coding	turquoise	452.368586657197	228.314279318506	224.054307338691	4.25997197981457
ENSG00000088986.11|DYNLL1|protein_coding	turquoise	454.952506439249	227.470311148843	227.482195290406	-0.0118841415627458
ENSG00000270170.2|NCBP2AS2|protein_coding	turquoise	471.333477938022	227.325060233984	244.008417704038	-16.6833574700532
ENSG00000247077.7|PGAM5|protein_coding	turquoise	457.120988836307	227.236989872058	229.883998964249	-2.64700909219079
ENSG00000162063.13|CCNF|protein_coding	turquoise	439.472388102524	227.028179365117	212.444208737407	14.5839706277102
ENSG00000102384.13|CENPI|protein_coding	turquoise	424.677024887438	227.023217857837	197.653807029601	29.3694108282353
ENSG00000184357.5|H1-5|protein_coding	turquoise	445.359201953906	226.658436051611	218.700765902295	7.95767014931567
ENSG00000196591.12|HDAC2|protein_coding	turquoise	460.971903024039	226.564912232164	234.406990791875	-7.84207855971107
ENSG00000126457.22|PRMT1|protein_coding	turquoise	453.536072195865	225.275094514299	228.260977681566	-2.9858831672671
ENSG00000214160.10|ALG3|protein_coding	turquoise	464.747765833125	225.167482262316	239.580283570809	-14.4128013084923
ENSG00000116830.12|TTF2|protein_coding	turquoise	409.851921242476	224.896655749018	184.955265493459	39.9413902555588
ENSG00000146223.16|RPL7L1|protein_coding	turquoise	415.801645701625	224.463752983685	191.33789271794	33.125860265745
ENSG00000163882.9|POLR2H|protein_coding	turquoise	441.912416649463	224.133974994949	217.778441654514	6.35553334043436
ENSG00000091127.14|PUS7|protein_coding	turquoise	412.638901750417	223.382550316524	189.256351433893	34.1261988826307
ENSG00000179950.14|PUF60|protein_coding	turquoise	462.867108487313	222.945417594785	239.921690892529	-16.9762732977441
ENSG00000096384.20|HSP90AB1|protein_coding	turquoise	441.954799709735	222.882129491373	219.072670218362	3.80945927301082
ENSG00000112118.20|MCM3|protein_coding	turquoise	403.046391838962	222.873297732747	180.173094106215	42.7002036265322
ENSG00000166226.13|CCT2|protein_coding	turquoise	427.653193085271	222.685041260944	204.968151824327	17.7168894366172
ENSG00000110107.9|PRPF19|protein_coding	turquoise	439.01794922362	222.261078736414	216.756870487206	5.50420824920803
ENSG00000175216.15|CKAP5|protein_coding	turquoise	403.987691063502	222.204702726882	181.78298833662	40.4217143902615
ENSG00000100297.16|MCM5|protein_coding	turquoise	450.662253971068	221.79753776248	228.864716208587	-7.06717844610728
ENSG00000167553.16|TUBA1C|protein_coding	turquoise	456.727925965287	221.63511852318	235.092807442107	-13.4576889189265
ENSG00000013306.16|SLC25A39|protein_coding	turquoise	468.039202681528	221.441561338505	246.597641343022	-25.1560800045166
ENSG00000013573.17|DDX11|protein_coding	turquoise	422.343285586816	221.222080263481	201.121205323335	20.1008749401453
ENSG00000174173.7|TRMT10C|protein_coding	turquoise	437.668618524659	220.820797769684	216.847820754975	3.97297701470882
ENSG00000163655.16|GMPS|protein_coding	turquoise	422.368371009223	220.32249157541	202.045879433813	18.276612141596
ENSG00000153046.18|CDYL|protein_coding	turquoise	451.891269279413	220.196289865134	231.69497941428	-11.4986895491461
ENSG00000073536.18|NLE1|protein_coding	turquoise	424.939852608116	220.132806935531	204.807045672585	15.3257612629459
ENSG00000172009.15|THOP1|protein_coding	turquoise	458.004314060423	219.577870125098	238.426443935325	-18.8485738102264
