GeneName	Reg	log2FoldChange
ENSG00000103316.12|CRYM|protein_coding	Down	-1.25948718256847
ENSG00000165349.12|SLC7A3|protein_coding	Down	-1.25874175588127
ENSG00000180730.5|SHISA2|protein_coding	Down	-1.25555512020222
ENSG00000164619.10|BMPER|protein_coding	Down	-1.25319240827132
ENSG00000088992.18|TESC|protein_coding	Down	-1.25189299761112
ENSG00000150201.15|FXYD4|protein_coding	Down	-1.25101932188519
ENSG00000185448.10|FAM47A|protein_coding	Down	-1.24809616470893
ENSG00000136099.13|PCDH8|protein_coding	Down	-1.24256791371572
ENSG00000149435.12|GGTLC1|protein_coding	Down	-1.242254568321
ENSG00000183888.4|SRARP|protein_coding	Down	-1.24115166595946
ENSG00000073734.10|ABCB11|protein_coding	Down	-1.23155557250003
ENSG00000228198.3|OR2M3|protein_coding	Down	-1.23012253722941
ENSG00000165188.13|RNF183|protein_coding	Down	-1.22942687598871
ENSG00000156687.11|UNC5D|protein_coding	Down	-1.22853413430794
ENSG00000162482.5|AKR7A3|protein_coding	Down	-1.22763653774076
ENSG00000163793.13|DNAJC5G|protein_coding	Down	-1.22609964221479
ENSG00000168671.10|UGT3A2|protein_coding	Down	-1.2256688228254
ENSG00000172689.2|MS4A10|protein_coding	Down	-1.22285650285383
ENSG00000138068.10|SULT6B1|protein_coding	Down	-1.22267436838427
ENSG00000182836.10|PLCXD3|protein_coding	Down	-1.22195743265027
ENSG00000095627.9|TDRD1|protein_coding	Down	-1.22101475853185
ENSG00000198678.5|OR5BS1P|protein_coding	Down	-1.22003630057411
ENSG00000188257.12|PLA2G2A|protein_coding	Down	-1.22000280395935
ENSG00000189152.11|GRAPL|protein_coding	Down	-1.2198408912969
ENSG00000183251.4|OR51B4|protein_coding	Down	-1.217488863455
ENSG00000187918.5|OR51I2|protein_coding	Down	-1.21675895117901
ENSG00000122136.14|OBP2A|protein_coding	Down	-1.21666604258447
ENSG00000181562.5|EDDM3A|protein_coding	Down	-1.21606979958221
ENSG00000101049.17|SGK2|protein_coding	Down	-1.21551382941863
ENSG00000181552.4|EDDM3B|protein_coding	Down	-1.21411892282179
ENSG00000160349.10|LCN1|protein_coding	Down	-1.21165146220111
ENSG00000134259.5|NGF|protein_coding	Down	-1.21042979985889
ENSG00000135100.18|HNF1A|protein_coding	Down	-1.20685561799052
ENSG00000166448.15|TMEM130|protein_coding	Down	-1.20596159935074
ENSG00000243135.6|UGT1A3|protein_coding	Down	-1.20329795763251
ENSG00000152128.13|TMEM163|protein_coding	Down	-1.20308735848895
ENSG00000198173.5|FAM47C|protein_coding	Down	-1.20235502709535
ENSG00000204711.9|C9orf135|protein_coding	Down	-1.20091074442706
ENSG00000108849.8|PPY|protein_coding	Down	-1.19864721708888
ENSG00000204481.8|PRAMEF14|protein_coding	Down	-1.19803397182607
ENSG00000163053.11|SLC16A14|protein_coding	Down	-1.196275432409
ENSG00000165215.6|CLDN3|protein_coding	Down	-1.19520457891587
ENSG00000139540.12|SLC39A5|protein_coding	Down	-1.19344698177313
ENSG00000173714.8|WFIKKN2|protein_coding	Down	-1.19131687898857
ENSG00000139656.7|SMIM2|protein_coding	Down	-1.18982427595595
ENSG00000196099.4|OR6M1|protein_coding	Down	-1.18591550556559
ENSG00000115263.15|GCG|protein_coding	Down	-1.18077454630516
ENSG00000164929.17|BAALC|protein_coding	Down	-1.17674979060295
ENSG00000167359.8|OR51I1|protein_coding	Down	-1.17604866338003
ENSG00000125879.5|OTOR|protein_coding	Down	-1.17340278479672
ENSG00000134184.13|GSTM1|protein_coding	Down	-1.17151404858162
ENSG00000164334.15|FAM170A|protein_coding	Down	-1.16989282298636
ENSG00000197561.7|ELANE|protein_coding	Down	-1.16898460917448
ENSG00000188959.9|C9orf152|protein_coding	Down	-1.16781299637657
ENSG00000229637.4|PRAC2|protein_coding	Down	-1.16377620687749
ENSG00000151012.13|SLC7A11|protein_coding	Down	-1.16250760381414
ENSG00000165496.5|RPL10L|protein_coding	Down	-1.15947050348067
ENSG00000204022.9|LIPJ|protein_coding	Down	-1.15937923668988
ENSG00000123165.8|ACTRT1|protein_coding	Down	-1.1593317206736
ENSG00000080293.10|SCTR|protein_coding	Down	-1.15690471228179
ENSG00000198028.4|ZNF560|protein_coding	Down	-1.15516603624666
ENSG00000144820.8|ADGRG7|protein_coding	Down	-1.15243213967733
ENSG00000130675.15|MNX1|protein_coding	Down	-1.15237376547918
ENSG00000215547.1|DEFB115|protein_coding	Down	-1.15212509960581
ENSG00000188761.13|BCL2L15|protein_coding	Down	-1.15176466831649
ENSG00000181609.5|OR52D1|protein_coding	Down	-1.1508708454257
ENSG00000255012.2|OR5M1|protein_coding	Down	-1.15030209619103
ENSG00000169067.4|ACTBL2|protein_coding	Down	-1.14631998780323
ENSG00000223638.3|RFPL4A|protein_coding	Down	-1.14551886592542
ENSG00000108176.15|DNAJC12|protein_coding	Down	-1.14469708970401
ENSG00000186714.12|CCDC73|protein_coding	Down	-1.14279488402022
ENSG00000170516.17|COX7B2|protein_coding	Down	-1.14203657289586
ENSG00000131773.14|KHDRBS3|protein_coding	Down	-1.14095376566075
ENSG00000157404.16|KIT|protein_coding	Down	-1.1369890136002
ENSG00000230601.7|TEX48|protein_coding	Down	-1.13619720149393
ENSG00000156269.5|NAA11|protein_coding	Down	-1.13404676691784
ENSG00000090539.15|CHRD|protein_coding	Down	-1.13155872611333
ENSG00000183454.18|GRIN2A|protein_coding	Down	-1.12960132550236
ENSG00000127954.13|STEAP4|protein_coding	Down	-1.1289411209506
ENSG00000130222.11|GADD45G|protein_coding	Down	-1.12532958781382
ENSG00000240542.4|KRTAP9-1|protein_coding	Down	-1.12400109170297
ENSG00000181234.9|TMEM132C|protein_coding	Down	-1.12159862597134
ENSG00000240224.1|UGT1A5|protein_coding	Down	-1.11993976663602
ENSG00000214435.8|AS3MT|protein_coding	Down	-1.1197782684743
ENSG00000189186.10|DCAF8L2|protein_coding	Down	-1.11975047962207
ENSG00000135409.11|AMHR2|protein_coding	Down	-1.11930704397247
ENSG00000180083.11|WFDC11|protein_coding	Down	-1.1191004931983
ENSG00000273274.2|ZBTB8B|protein_coding	Down	-1.11851779044046
ENSG00000113249.13|HAVCR1|protein_coding	Down	-1.11439640783369
ENSG00000062524.16|LTK|protein_coding	Down	-1.11372352971821
ENSG00000125798.15|FOXA2|protein_coding	Down	-1.11072682433778
ENSG00000230301.6|OR5H6|protein_coding	Down	-1.11041704453666
ENSG00000187288.12|CIDEC|protein_coding	Down	-1.10994311832113
ENSG00000156510.13|HKDC1|protein_coding	Down	-1.10856915205928
ENSG00000166741.8|NNMT|protein_coding	Down	-1.10791416941299
ENSG00000168878.19|SFTPB|protein_coding	Down	-1.10541663317854
ENSG00000168903.9|BTNL3|protein_coding	Down	-1.10499348499204
ENSG00000149260.18|CAPN5|protein_coding	Down	-1.10278921891174
ENSG00000165120.5|SSMEM1|protein_coding	Down	-1.09812639794503
ENSG00000254245.3|PCDHGA3|protein_coding	Down	-1.09768564251524
ENSG00000244474.6|UGT1A4|protein_coding	Down	-1.09547993182755
ENSG00000179930.6|ZNF648|protein_coding	Down	-1.09367116655158
ENSG00000181019.13|NQO1|protein_coding	Down	-1.09249773302505
ENSG00000147003.7|CLTRN|protein_coding	Down	-1.0905393048207
ENSG00000189013.14|KIR2DL4|protein_coding	Down	-1.09029809836585
ENSG00000169894.18|MUC3A|protein_coding	Down	-1.09001350671774
ENSG00000212122.4|TSSK1B|protein_coding	Down	-1.08813377646066
ENSG00000205279.8|CTXN3|protein_coding	Down	-1.08686991480019
ENSG00000173175.15|ADCY5|protein_coding	Down	-1.08665160090054
ENSG00000219073.8|CELA3B|protein_coding	Down	-1.08497696559157
ENSG00000184647.11|PRSS55|protein_coding	Down	-1.08447608547507
ENSG00000204172.12|AGAP9|protein_coding	Down	-1.08383730405659
ENSG00000173212.4|MAB21L3|protein_coding	Down	-1.08370186473819
ENSG00000112936.19|C7|protein_coding	Down	-1.08278453619607
ENSG00000167800.9|TBX10|protein_coding	Down	-1.08197579616828
ENSG00000084110.11|HAL|protein_coding	Down	-1.08190826973538
ENSG00000174460.4|ZCCHC12|protein_coding	Down	-1.08182738857183
ENSG00000162621.7|LRRC53|protein_coding	Down	-1.08166138934824
ENSG00000137251.16|TINAG|protein_coding	Down	-1.08082236729405
ENSG00000171487.15|NLRP5|protein_coding	Down	-1.07827643259015
ENSG00000012504.15|NR1H4|protein_coding	Down	-1.07711337748895
